Threads,Devito/xDSL
(1, [0.003, 0.006, 0.003, 0.005, 0.005, 0.003, 0.002, 0.003, 0.005, 0.003])
(2, [0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002])
(4, [0.002, 0.001, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002])
(8, [0.002, 0.001, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.002])
(16, [0.002, 0.005, 0.002, 0.002, 0.002, 0.001, 0.005, 0.002, 0.002, 0.002])
(32, [0.005, 0.005, 0.003, 0.006, 0.005, 0.005, 0.005, 0.008, 0.004, 0.006])
