Grid Size,Devito/xDSL,Devito/GCC
2048,2048,0.109,0.125764
2048,4096,0.318,0.27019499999999996
4096,4096,0.674,0.6884169999999998
4096,8192,1.454,1.4310340000000001
8192,8192,3.089,3.011858999999999
8192,16384,6.1370000000000005,6.9759579999999985
